# leverage-v1 commands.log (ts	argv	rc	elapsed_s)
# manual setup/measurement commands executed for the evidence package (all < 300 s):
2026-08-01T05:29:00+0800	["python3", "reports/leverage-v1/build-shared.py"]	rc=0	2.261s
2026-08-01T05:34:47+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.191s
2026-08-01T05:34:47+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.189s
2026-08-01T05:34:47+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.060s
2026-08-01T05:34:47+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.055s
2026-08-01T05:34:47+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.034s
2026-08-01T05:34:48+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.030s
2026-08-01T05:34:48+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.041s
2026-08-01T05:34:48+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.038s
2026-08-01T05:34:48+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.297s
2026-08-01T05:34:48+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.292s
2026-08-01T05:34:48+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.187s
2026-08-01T05:34:49+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.182s
2026-08-01T05:34:49+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.663s
2026-08-01T05:34:50+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.669s
2026-08-01T05:34:52+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.020s
2026-08-01T05:34:52+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:34:52+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:34:52+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.163s
2026-08-01T05:34:52+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.084s
2026-08-01T05:34:53+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.085s
2026-08-01T05:34:53+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "open"]	rc=0	0.014s
